1      240 0 0 NFNK Lakeba Island
100   68.88   3   0 1.00 0 0 0 14  -18.19450824 -178.82091415    0.00    0.00 0  0 0 0 32  -18.20327815 -178.81319525    0.00    0.00 0  0 0 0
110   3 1.00 140.10 New Taxiway 7
111 -18.20318319 -178.81358430 
111 -18.20327175 -178.81366864 
111 -18.20320428 -178.81373967 
111 -18.20350234 -178.81408070 
111 -18.20382059 -178.81380811 
111 -18.20348682 -178.81348663 
111 -18.20340670 -178.81356210 
113 -18.20331794 -178.81346329 
14  -18.20330878 -178.81386503    6 0 New Tower Viewpoint 22
15  -18.20349582 -178.81368527 314.27 New Ramp Start 23
19  -18.20318398 -178.81379052 0 New Windsock 25
