1        3 1 1 MYPI Paradise Island
100   45.72   2   0 0.25 0 2 0 09   25.07795169 -077.30148104    0.00    0.00 2  0 0 0 27   25.07871431 -077.29185696    0.00    0.00 2  0 0 0
10   25.07903700 -077.29201500 xxx 355.00   194 0.0 0.0    75 161161  2 0 0 0.35 0
10   25.07886100 -077.29672300 xxx 265.00  3092 0.0 0.0    50 161161  2 0 0 0.35 0
10   25.07946300 -077.29671000 xxx 265.00   785 0.0 0.0   334 161161  2 0 0 0.35 0
10   25.07823700 -077.30135200 xxx 355.00   234 0.0 0.0    75 161161  2 0 0 0.35 0
10   25.07889200 -077.29219100 xxx 216.00   164 0.0 0.0    66 101101  2 0 0 0.25 0
10   25.07819100 -077.30116900 xxx 117.00   164 0.0 0.0    66 101101  2 0 0 0.25 0
10   25.07843600 -077.30123300 xxx 216.00    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07856600 -077.29677600 xxx 216.00    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07900800 -077.29660900 xxx 216.00    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07856900 -077.29655500 xxx 132.00    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07899400 -077.29678800 xxx 135.68    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07914200 -077.29214500 xxx 132.00    92 0.0 0.0    39 101101  2 0 0 0.25 0
10   25.07879000 -077.29668100 xxx 355.00   299 0.0 0.0    50 161161  2 0 0 0.35 0
14   25.07975600 -077.29675200    0 0 Tower Viewpoint
15   25.07912000 -077.29673900   0.00 Custom Startup Location
18   25.07976750 -077.29681068 1 BCN
19   25.07862300 -077.29715600 1 Windsock
