1       69 1 0 EBGB Grimbergen
100   39.01   3   0 0.00 0 2 0 02   50.94582907  004.39103085    0.00    0.00 1  0 0 0 20   50.95142388  004.39267515    0.00    0.00 1  0 0 0
110   2 0.00   0.00 xxx
111  50.94469950  004.39491674 
111  50.94689890  004.39457855 
111  50.94687614  004.39313955 
113  50.94463458  004.39309673 
110   4 0.00 170.00 xxx
111  50.94789190  004.39275047 
111  50.94687614  004.39313955 
111  50.94687818  004.39341097 
113  50.94793720  004.39296374 
110   4 0.00   3.00 xxx
111  50.94793720  004.39296374 
111  50.95084744  004.39295134 
111  50.95088491  004.39274840 
113  50.94789190  004.39275047 
110   2 0.00   0.00 xxx
111  50.94689089  004.39451752 
111  50.94837030  004.39451752 
111  50.94837030  004.39399795 
113  50.94688252  004.39399641 
110   4 0.00 104.00 xxx
111  50.94696404  004.39159502 
111  50.94669860  004.39328475 
111  50.94685829  004.39334794 
113  50.94712373  004.39165821 
110   4 0.00  90.00 xxx
111  50.94361605  004.39041257 
111  50.94582092  004.39114594 
111  50.94585477  004.39091476 
113  50.94357249  004.39014932 
110   4 0.00  90.00 xxx
111  50.94361605  004.39041257 
111  50.94412875  004.39290659 
111  50.94421455  004.39275923 
113  50.94375720  004.39044514 
110   4 0.00  50.00 xxx
111  50.94412875  004.39290659 
111  50.94464361  004.39327126 
111  50.94471908  004.39310938 
113  50.94421455  004.39275923 
110   4 0.00 104.00 xxx
111  50.94843622  004.39206730 
111  50.94840203  004.39276719 
111  50.94860239  004.39275391 
113  50.94862941  004.39211720 
110   2 0.00   0.00 xxx
111  50.94844361  004.39434344 
111  50.94863562  004.39434344 
111  50.94863562  004.39403867 
113  50.94844361  004.39403867 
110   3 0.00   0.00 xxx
111  50.94635276  004.39033713 
111  50.94643505  004.39033713 
111  50.94643505  004.39020652 
113  50.94635276  004.39020652 
14   50.94881730  004.39436159   50 0 Tower Viewpoint
15   50.94820642  004.39576019 270.00 Custom Starting Point
18   50.94877671  004.39122421 1 BCN
19   50.94767970  004.39215934 1 WS
19   50.94639390  004.39027183 1 WS
19   50.95123829  004.39307045 1 WS
50 12780 Brussels Volmet
51 11950 Grimbergen Radio
52 12662 Brussels Departure
