1      -13 0 0 EHLE Lelystad
100   29.87   1   0 0.25 0 2 1 05   52.45114700  005.51102200    0.00  149.96 3  0 0 1 23   52.45872800  005.52459200    0.00  149.96 2  7 0 1
100   49.99   3   0 0.25 0 2 0 05L  52.46230829  005.52257826    0.00    0.00 1  0 0 0 23R  52.46492171  005.52725774    0.00    0.00 1  0 0 0
21   52.45833039  005.52306967  2  47.48   3.00 05  PAPI-4L
21   52.45726682  005.52278308  2 227.49   3.00 23  PAPI-4L
10   52.45389600  005.51842000 xxx  48.00  4050 0.0 0.0    90 161161  2 0 0 0.25 0
10   52.45406000  005.51753900 xxx 138.00  1430 0.0 0.0   110 161161  2 0 0 0.25 0
10   52.45824400  005.52426000 xxx 138.00  1260 0.0 0.0   120 161161  2 0 0 0.25 0
10   52.45625700  005.52414500 xxx  48.00   930 0.0 0.0   200 161161  2 0 0 0.25 0
10   52.45195400  005.51161900 xxx 139.00   904 0.0 0.0   120 161161  2 0 0 0.25 0
10   52.45673800  005.52060700 xxx 138.00   810 0.0 0.0   100 161161  2 0 0 0.25 0
10   52.45126700  005.51464000 xxx  48.00   400 0.0 0.0   230 161161  2 0 0 0.25 0
10   52.45574600  005.52245900 xxx 138.00   210 0.0 0.0   100 161161  2 0 0 0.25 0
14   52.45593600  005.51780700    0 0 ATC Tower
18   52.45533800  005.51721100 1 BCN
19   52.45154600  005.51042600 1 WS
19   52.45833200  005.52518900 1 WS
