1       49 1 0 EBAM Amougies
100   46.94   3   0 0.00 0 0 1 9    50.74049034  003.48172046    0.00    0.00 1  0 0 0 27   50.73973117  003.48969614    0.00    0.00 1  0 0 0
110  12 0.00   0.00 New Taxiway 2
112  50.74051899  003.48117611  50.74038080  003.48154740 
111  50.74008829  003.48190596 
111  50.73965888  003.48631154 
111  50.73932986  003.48997961 
111  50.74000222  003.49005578 
111  50.74055725  003.48425501 
111  50.74076322  003.48383269 
113  50.74092319  003.48061909 
14   50.74105818  003.48665532   30 0 Tower Viewpoint
19   50.73969300  003.48368448 1 WS
