1      400 1 0 EDAR EDAR Pirna Pratzschwitz
100   49.99   3   0 0.00 0 0 1 12L  50.98130282  013.90242930    0.00    0.00 2  0 0 0 30R  50.97725307  013.91356862    0.00    0.00 2  0 0 0
100   70.10   3   0 0.00 0 0 0 12R  50.98055758  013.90175234    0.00    0.00 2  0 0 0 30L  50.97650781  013.91289236    0.00    0.00 2  0 0 0
110   4 0.00   0.00 Weg um den Flugplatz 5
111  50.97731387  013.90503884 
111  50.97790568  013.90452014 
111  50.97842163  013.90380307 
111  50.97928922  013.90246616 
111  50.98001734  013.90111180 
111  50.98049227  013.90038686 
111  50.98077291  013.89999990 
111  50.98093636  013.89978928 
111  50.98102271  013.89974030 
111  50.98109055  013.89975499 
111  50.98117691  013.89983826 
111  50.98121083  013.89975499 
111  50.98109672  013.89966193 
111  50.98095178  013.89966683 
111  50.98080683  013.89984316 
111  50.97995800  013.90106994 
111  50.97920168  013.90249041 
111  50.97876993  013.90317613 
111  50.97787558  013.90446430 
111  50.97728655  013.90497858 
111  50.97687739  013.90550010 
113  50.97691474  013.90555685 
110   4 0.00   0.00 Weg um den Flugplatz 4
111  50.97977786  013.91617429 
111  50.97942328  013.91575430 
111  50.97888120  013.91507004 
111  50.97880809  013.91484099 
111  50.97881190  013.91453903 
111  50.97906240  013.91349162 
111  50.97958554  013.91119168 
111  50.98023460  013.90889245 
111  50.98121419  013.90572343 
111  50.98202551  013.90293622 
111  50.98236205  013.90181943 
111  50.98244018  013.90149489 
111  50.98242816  013.90123717 
111  50.98237407  013.90092218 
111  50.98222383  013.90070264 
111  50.98198945  013.90041628 
111  50.98121419  013.89975766 
111  50.98117813  013.89984357 
111  50.98197142  013.90050219 
111  50.98210363  013.90067400 
111  50.98228994  013.90090309 
111  50.98236205  013.90114172 
111  50.98238008  013.90140899 
111  50.98230797  013.90179080 
111  50.98199795  013.90283123 
111  50.98166712  013.90397665 
111  50.98107983  013.90596432 
111  50.98055864  013.90761013 
111  50.98004490  013.90935528 
111  50.97953094  013.91115945 
111  50.97931549  013.91216473 
111  50.97896883  013.91369265 
111  50.97882932  013.91420532 
111  50.97874779  013.91456770 
111  50.97875162  013.91483838 
111  50.97881482  013.91505128 
111  50.97903696  013.91537628 
111  50.97925889  013.91564423 
111  50.97952564  013.91596831 
111  50.97973569  013.91623337 
111  50.97994717  013.91641618 
111  50.98008095  013.91652013 
111  50.98010336  013.91645309 
113  50.97996588  013.91636134 
110   4 0.00   0.00 Weg um den Flugplatz 3
111  50.97564220  013.90731225 
111  50.97586504  013.90703208 
111  50.97608787  013.90672452 
111  50.97628152  013.90640433 
111  50.97640621  013.90623791 
111  50.97645396  013.90619367 
111  50.97651232  013.90620631 
111  50.97656405  013.90625055 
111  50.97663700  013.90637062 
111  50.97666485  013.90630532 
111  50.97657598  013.90616629 
111  50.97655078  013.90613679 
111  50.97654813  013.90608834 
111  50.97657068  013.90601672 
111  50.97665955  013.90591771 
111  50.97674046  013.90581871 
111  50.97691699  013.90555718 
111  50.97687853  013.90549819 
111  50.97669814  013.90575730 
111  50.97654162  013.90593636 
111  50.97640898  013.90611752 
111  50.97630155  013.90627973 
111  50.97618333  013.90646089 
111  50.97602814  013.90670946 
111  50.97586102  013.90696014 
113  50.97562094  013.90726349 
110   4 0.00   0.00 Weg um den Flugplatz 2
111  50.97521335  013.91427106 
111  50.97523807  013.91418134 
111  50.97526455  013.91402152 
111  50.97526984  013.91381685 
111  50.97522041  013.91339348 
111  50.97506505  013.91252935 
111  50.97497502  013.91203589 
111  50.97488498  013.91150037 
111  50.97481613  013.91090317 
111  50.97477552  013.91032831 
111  50.97475610  013.90996662 
111  50.97476670  013.90969186 
111  50.97479141  013.90933017 
111  50.97482319  013.90915914 
111  50.97485320  013.90897690 
111  50.97489734  013.90876382 
111  50.97493794  013.90866288 
111  50.97496619  013.90848905 
111  50.97497325  013.90832082 
111  50.97494500  013.90820867 
111  50.97489910  013.90811335 
111  50.97499797  013.90805447 
111  50.97511802  013.90791989 
111  50.97523983  013.90779933 
111  50.97539695  013.90763110 
111  50.97551877  013.90748250 
111  50.97564588  013.90731147 
111  50.97562469  013.90726381 
111  50.97547816  013.90746288 
111  50.97538636  013.90756101 
111  50.97525749  013.90768998 
111  50.97513920  013.90782456 
111  50.97501562  013.90793391 
111  50.97493618  013.90801521 
111  50.97486379  013.90805166 
111  50.97478258  013.90804045 
111  50.97477729  013.90812456 
111  50.97483378  013.90814419 
111  50.97489557  013.90818344 
111  50.97493088  013.90834886 
111  50.97492558  013.90853391 
111  50.97486026  013.90875782 
111  50.97476670  013.90918960 
111  50.97471903  013.90986811 
111  50.97474374  013.91053540 
111  50.97479141  013.91114381 
111  50.97493088  013.91200002 
111  50.97511272  013.91304301 
111  50.97520452  013.91363741 
111  50.97523453  013.91393461 
111  50.97520805  013.91413928 
113  50.97514273  013.91425143 
110   3 0.00   0.00 Weg zwischen zwei Wegen
111  50.97875867  013.91486295 
111  50.97875027  013.91497164 
111  50.97871545  013.91521953 
111  50.97869144  013.91532249 
111  50.97865182  013.91543500 
111  50.97859419  013.91557038 
111  50.97852936  013.91571149 
111  50.97846093  013.91580683 
111  50.97839850  013.91584688 
111  50.97829405  013.91590217 
111  50.97834087  013.91591933 
111  50.97840330  013.91589073 
111  50.97847414  013.91583543 
111  50.97855097  013.91572484 
111  50.97862181  013.91555704 
111  50.97869985  013.91536063 
111  50.97873706  013.91519664 
111  50.97876588  013.91503647 
113  50.97877908  013.91492969 
110   5 0.00   0.00 Weg um den Flugplatz 1
111  50.97503863  013.91426828 
111  50.97505454  013.91439467 
111  50.97514606  013.91435465 
111  50.97520973  013.91436939 
111  50.97526279  013.91442205 
111  50.97529595  013.91448736 
111  50.97534635  013.91455055 
111  50.97538216  013.91461585 
111  50.97545777  013.91470643 
111  50.97555327  013.91481176 
111  50.97564744  013.91487074 
111  50.97575753  013.91494447 
111  50.97593813  013.91502663 
111  50.97612250  013.91508983 
111  50.97649389  013.91520780 
111  50.97694729  013.91536645 
111  50.97722386  013.91548960 
111  50.97756246  013.91563739 
111  50.97797845  013.91584125 
111  50.97826985  013.91594703 
111  50.97857789  013.91603959 
111  50.97878603  013.91611892 
111  50.97900666  013.91624454 
111  50.97933365  013.91644294 
111  50.97955012  013.91656195 
111  50.97974222  013.91663192 
111  50.97987679  013.91672209 
111  50.97996413  013.91674873 
111  50.98003004  013.91673929 
111  50.98011495  013.91667507 
111  50.98016913  013.91668663 
111  50.98020956  013.91673929 
111  50.98027505  013.91691525 
111  50.98027505  013.91691525 
111  50.98029365  013.91708350 
111  50.98033247  013.91711047 
111  50.98036713  013.91659463 
111  50.98026848  013.91649702 
111  50.98046271  013.91652674 
111  50.98053875  013.91655566 
111  50.98068507  013.91660368 
111  50.98080046  013.91664771 
111  50.98091264  013.91673232 
111  50.98097308  013.91662875 
111  50.98083606  013.91653859 
111  50.98074945  013.91649553 
111  50.98064507  013.91646140 
111  50.98051798  013.91641428 
111  50.98040611  013.91640153 
111  50.98029020  013.91641434 
111  50.98022992  013.91640339 
111  50.98016964  013.91639244 
111  50.98010994  013.91643308 
111  50.98003886  013.91664533 
111  50.98000474  013.91669500 
111  50.97994219  013.91669048 
111  50.97986257  013.91665436 
111  50.97981140  013.91662726 
111  50.97974884  013.91659565 
111  50.97968061  013.91655952 
111  50.97962953  013.91654204 
111  50.97956972  013.91651888 
111  50.97951854  013.91649179 
111  50.97939628  013.91641953 
111  50.97923706  013.91633373 
111  50.97909774  013.91625245 
111  50.97889672  013.91613954 
111  50.97867779  013.91603116 
111  50.97848161  013.91595891 
111  50.97826837  013.91589569 
111  50.97801816  013.91579182 
111  50.97779639  013.91568345 
111  50.97761726  013.91561119 
111  50.97722660  013.91543507 
