1       75 1 0 EBSG St. Ghislain
100   21.34   1   0 0.25 0 2 0 09   50.45833600  003.81501934    0.00    0.00 2  0 0 0 27   50.45833600  003.82498066    0.00    0.00 2  0 0 0
10   50.45864900  003.82100000 xxx  90.00  1840 0.0 0.0   130 101101  3 0 0 0.25 0
10   50.45925100  003.81968000 xxx  90.00   920 0.0 0.0    50 101101  2 0 0 0.25 0
10   50.45865200  003.81595900 xxx  90.00   430 0.0 0.0   130 101101  3 0 0 0.25 0
10   50.45882000  003.81696200 xxx   0.00   300 0.0 0.0    50 101101  1 0 0 0.25 0
10   50.45920900  003.81729600 xxx  81.00   200 0.0 0.0    50 161161  2 0 0 0.25 0
10   50.45916400  003.81657700 xxx  90.00   140 0.0 0.0    50 161161  2 0 0 0.25 0
10   50.45896100  003.81788500 xxx   0.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
14   50.45933500  003.82000000   20 0 Tower Viewpoint
18   50.45900803  003.82000000 1 BCN
19   50.45900000  003.82111100 1 WS
