1     1861 1 0 EDMJ Jesenwang
100   11.89   1   0 0.00 0 0 0 07   48.17367594  011.12262577    0.00    0.00 2  0 0 0 25   48.17502406  011.12818030    0.00    0.00 2  0 0 0
130 Airport Boundary 1
111  48.17458987  011.12127964 
111  48.17266313  011.12245409 
111  48.17221242  011.12446611 
111  48.17463604  011.12879032 
113  48.17638076  011.12815471 
14   48.17351798  011.12448765   24 0 Tower
19   48.17358300  011.12445700 1 WS
20   48.17365904  011.12310713 299.68  0 1 {@R}07
20   48.17483892  011.12786750  23.27  0 2 {@R}25
54 12005 Jesenwang Info
