1     3255 0 0 9V4  Cole Memorial
100    7.01   1   0 1.00 0 0 0 11   42.92568970 -101.69708141    0.00    0.00 0  0 0 0 29   42.92287476 -101.69008883    0.00    0.00 0  0 0 0
110   1 1.00 118.80 New Taxiway 8
111  42.92286293 -101.69013655 
112  42.92271618 -101.68992603  42.92268930 -101.68983318 
112  42.92269721 -101.68968418  42.92273357 -101.68963020 
112  42.92286007 -101.68960213  42.92289802 -101.68960645 
112  42.92295811 -101.68986773  42.92295495 -101.68995410 
113  42.92290949 -101.69009827 
110   1 1.00 118.80 New Taxiway 7
111  42.92566778 -101.69694313 
112  42.92582009 -101.69731144  42.92582356 -101.69739695 
112  42.92576269 -101.69753235  42.92571920 -101.69756323 
112  42.92563571 -101.69748722  42.92562006 -101.69741121 
112  42.92563223 -101.69725681  42.92563223 -101.69721643 
113  42.92562006 -101.69701689 
110   4 1.00   0.00 New Taxiway 5
111  42.92566902 -101.69909079 
111  42.92551495 -101.69909079 
111  42.92553736 -101.69901428 
112  42.92554856 -101.69876945  42.92554576 -101.69867764 
112  42.92541130 -101.69824153  42.92535808 -101.69805408 
112  42.92544772 -101.69774804  42.92546453 -101.69769448 
112  42.92556817 -101.69739992  42.92559338 -101.69728516 
111  42.92559619 -101.69705180 
111  42.92564661 -101.69691408 
112  42.92571664 -101.69695616  42.92575586 -101.69699442 
112  42.92592954 -101.69718952  42.92598836 -101.69728898 
111  42.92584550 -101.69751851 
112  42.92569143 -101.69761032  42.92557938 -101.69765240 
112  42.92547293 -101.69791636  42.92543931 -101.69800435 
111  42.92546453 -101.69824535 
112  42.92559338 -101.69868146  42.92561299 -101.69873502 
113  42.92565501 -101.69906018 
110   3 1.00 118.80 New Taxiway 6
112  42.92453858 -101.69905882  42.92447407 -101.69905882 
112  42.92448400 -101.69836079  42.92448896 -101.69824558 
112  42.92455347 -101.69756789  42.92456836 -101.69755434 
112  42.92472716 -101.69735103  42.92472716 -101.69733070 
112  42.92402743 -101.69567034  42.92400758 -101.69558224 
112  42.92408699 -101.69535183  42.92423586 -101.69516207 
112  42.92451873 -101.69504686  42.92459317 -101.69495199 
111  42.92483634 -101.69508752 
112  42.92578463 -101.69743531  42.92582191 -101.69748623 
112  42.92588631 -101.69770841  42.92590326 -101.69777321 
112  42.92605918 -101.69812501  42.92613714 -101.69822684 
112  42.92641169 -101.69824073  42.92646931 -101.69828239 
113  42.92668624 -101.69894894 
14   42.92532008 -101.69732016    6 0 New Tower Viewpoint 7
15   42.92528618 -101.69755160  15.07 New Ramp Start 9
19   42.92516909 -101.69679415 0 New Windsock 8
