1   1070 0 0 EDQH Herzogenaurach
10  49.582500   10.878056 08x  77.000  2297 0250.0000 0000.0000   66 111111 01 0 2 0.25 0 0300.0300 
10  49.582072   10.882289 xxx  61.000   369 0000.0000 0000.0000  293 111111 01 0 0 0.25 0 
10  49.582473   10.882083 xxx  75.038   423 0000.0000 0000.0000  127 111111 01 0 0 0.25 0 
10  49.581811   10.874729 xxx 321.920    23 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581768   10.874799 xxx 306.844    30 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581718   10.874906 xxx 305.052    39 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581672   10.875043 xxx 291.467    47 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581637   10.875233 xxx 281.437    53 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581876   10.874690 xxx 166.771    43 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.582195   10.879064 xxx 256.865  1832 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.581915   10.875838 xxx 166.854   162 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.582340   10.878750 xxx 170.360   146 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.582756   10.881503 xxx 165.319   146 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
10  49.582935   10.882764 xxx 166.027   149 0000.0000 0000.0000   23 111111 01 0 0 0.25 0 
