1    787 0 0 EPLR Radawiec
10  51.222411   22.395785  11 109.000  3116 0000.0000 0000.0000  328 111111 03 0 1 0.25 0 0300.0300 
10  51.221701   22.393019  19 187.000  2296 0000.0000 0000.0000  328 111111 03 0 1 0.25 0 0300.0300 
10  51.222387   22.397300 12R 121.000  2296 0000.0000 0000.0000  328 111111 03 0 1 0.25 0 0300.0300 
10  51.221624   22.396558 12R 121.000  2296 0000.0000 0000.0000  328 111111 03 1 1 0.25 0 0300.0300 
10  51.221541   22.396356 08L  83.000  2296 0000.0000 0000.0000  328 111111 03 2 1 0.25 0 0300.0300 
10  51.220635   22.396539 08R  83.000  2296 0000.0000 0000.0000  328 111111 03 2 1 0.25 0 0300.0300 
10  51.217125   22.395144 xxx  71.726   396 0000.0000 0000.0000  248 111111 03 0 0 0.25 0 
10  51.217053   22.396425 xxx  69.323   907 0000.0000 0000.0000  191 111111 03 0 0 0.25 0 
10  51.217454   22.396211 xxx  88.082  1019 0000.0000 0000.0000  197 111111 03 0 0 0.25 0 
10  51.217367   22.392317 xxx  69.981   851 0000.0000 0000.0000 1049 111111 03 0 0 0.25 0 
19  51.219029   22.399873 1 Windsock
