1     1070 1 1 SCCC CHILE CHICO
100   22.86   1   0 0.25 0 0 0 12  -46.57938800 -071.69279900    0.00    0.00 2  0 0 0 30  -46.58729400 -071.68200800    0.00    0.00 2  0 0 0
110   1 0.30 136.83 Default taxiway for RWY 12
111 -46.57945683 -071.69290576   3 
111 -46.57981022 -071.69345390   3 
111 -46.58771673 -071.68266456   3 
111 -46.58736334 -071.68211635 
112 -46.58721329 -071.68232111 -46.58728985 -071.68222112   3 
111 -46.58737429 -071.68235211   3 
112 -46.58748689 -071.68252678 -46.58757133 -071.68265778   3 
111 -46.58749631 -071.68276016   3 
111 -46.58373062 -071.68789889   3 
111 -46.58344760 -071.68745987 
111 -46.58337257 -071.68756225   3 
111 -46.58365559 -071.68800127   3 
112 -46.57988990 -071.69313999 -46.57981487 -071.69324237   3 
111 -46.57973043 -071.69311139   3 
112 -46.57961783 -071.69293675 -46.57953339 -071.69280577   3 
113 -46.57960688 -071.69270100 
120 Default hold RWY 12 (near)
111 -46.57959911 -071.69312645   4 
115 -46.57967413 -071.69302407 
120 Default hold RWY 12 (centre)
111 -46.58351485 -071.68778295   4 
115 -46.58358988 -071.68768057 
120 Default hold RWY 12 (far)
111 -46.58743059 -071.68243945   4 
115 -46.58750562 -071.68233707 
19  -46.57902778 -071.69267777 1 WS
19  -46.58765423 -071.68212918 1 WS
54 12770 INFO
