1     1991 0 1 SDUD USINA SANTA ADELIA
100   17.98   1   0 0.25 0 0 0 07  -21.33506700 -048.32003900    0.00    0.00 2  0 0 0 25  -21.32943100 -048.31245800    0.00    0.00 2  0 0 0
110   1 0.30  51.41 Default taxiway for RWY 07
111 -21.33512849 -048.31998632   3 
111 -21.33544647 -048.31971387   3 
111 -21.32981064 -048.31213259   3 
111 -21.32949266 -048.31240503 
112 -21.32959361 -048.31254083 -21.32954489 -048.31247142   3 
111 -21.32962078 -048.31240640   3 
112 -21.32972197 -048.31231970 -21.32979787 -048.31225468   3 
111 -21.32984835 -048.31232258   3 
111 -21.33254008 -048.31594347   3 
111 -21.33228534 -048.31616173 
111 -21.33233581 -048.31622962   3 
111 -21.33259055 -048.31601136   3 
112 -21.33528228 -048.31963226 -21.33533276 -048.31970016   3 
111 -21.33525686 -048.31976518   3 
112 -21.33515567 -048.31985189 -21.33507978 -048.31991691   3 
113 -21.33502754 -048.31985052 
120 Default hold RWY 07 (near)
111 -21.33525674 -048.31987643   4 
115 -21.33520627 -048.31980853 
120 Default hold RWY 07 (centre)
111 -21.33246406 -048.31611974   4 
115 -21.33241359 -048.31605185 
120 Default hold RWY 07 (far)
111 -21.32967138 -048.31236305   4 
115 -21.32962091 -048.31229515 
19  -21.33497929 -048.32033645 1 WS
19  -21.32951870 -048.31216056 1 WS
