1       27 0 0 SJRG Rio Grande
100   29.87   1   0 0.00 0 2 0 06  -32.08698227 -052.16879567    0.00    0.00 2  0 0 0 24  -32.07635106 -052.15787098    0.00    0.00 2  0 0 0
130 Airport Boundary
111 -32.07461422 -052.15723677 
111 -32.08756896 -052.17054913 
111 -32.08871911 -052.16942989 
113 -32.07576436 -052.15611753 
14  -32.08161500 -052.16653400    0 0 ATC Tower
15  -32.08143600 -052.16398200 136.00 Ramp
18  -32.08134681 -052.16364460 1 Beacon
19  -32.08198653 -052.16302206 1 Windsock
54 13180 RDO
