1     1148 1 1 SCTO VICTORIA
100   17.98   1   0 0.25 0 0 0 01  -38.25010800 -072.35043300    0.00    0.00 2  0 0 0 19  -38.24100300 -072.34678900    0.00    0.00 2  0 0 0
110   1 0.30  17.45 Default taxiway for RWY 01
111 -38.25013159 -072.35033744   3 
111 -38.25025359 -072.34984322   3 
111 -38.24114865 -072.34619883   3 
111 -38.24102665 -072.34669299 
112 -38.24118103 -072.34675479 -38.24110452 -072.34672116   3 
111 -38.24113363 -072.34660321   3 
112 -38.24117246 -072.34644596 -38.24120158 -072.34632802   3 
111 -38.24127877 -072.34635892   3 
111 -38.24563826 -072.34810387   3 
111 -38.24554052 -072.34849976 
111 -38.24561772 -072.34853066   3 
111 -38.24571546 -072.34813477   3 
112 -38.25007494 -072.34987972 -38.25015214 -072.34991062   3 
111 -38.25012302 -072.35002857   3 
112 -38.25008419 -072.35018585 -38.25005508 -072.35030380   3 
113 -38.24997720 -072.35027564 
120 Default hold RWY 01 (near)
111 -38.25018080 -072.35013811   4 
115 -38.25010361 -072.35010721 
120 Default hold RWY 01 (centre)
111 -38.24566693 -072.34833135   4 
115 -38.24558973 -072.34830045 
120 Default hold RWY 01 (far)
111 -38.24115305 -072.34652459   4 
115 -38.24107586 -072.34649369 
19  -38.25019001 -072.35078802 1 WS
19  -38.24092099 -072.34643403 1 WS
