1     4432 0 0 2NC0 Mountain Air
100   15.85   1   0 0.00 0 0 0 14   35.87183141 -082.34590529    0.00    0.00 2  0 0 0 32   35.86610931 -082.33908641    0.00    0.00 2  0 0 0
110   1 0.00   0.00 New Taxiway 3
111  35.87147534 -082.34539098  20 
111  35.87159722 -082.34521743  20 
111  35.87176598 -082.34553560  20 
111  35.87185037 -082.34579014 
113  35.87183141 -082.34590529 
110   1 0.00   0.00 New Taxiway 1
111  35.86743520 -082.34076030  20 
111  35.86721102 -082.34083483  20 
111  35.86712797 -082.34095594  20 
111  35.86662968 -082.34046219  20 
111  35.86618425 -082.33980074  20 
111  35.86629615 -082.33954966 
113  35.86635789 -082.33947588 
110   1 0.00   0.00 New Taxiway 2
111  35.86635789 -082.33947588 
111  35.86629615 -082.33954966  20 
111  35.86601470 -082.33920368  20 
111  35.86610931 -082.33908641  20 
111  35.86617887 -082.33900558  20 
111  35.86633357 -082.33902872  20 
112  35.86656583 -082.33918490  35.86651896 -082.33923223  20 
113  35.86651896 -082.33947361 
15   35.86696140 -082.34061132  45.20 Parking
19   35.87182705 -082.34513857 1 WS
19   35.86663355 -082.33919338 1 WS
