1      360 1 0 LFPF Beynes Thiverval
100   79.86   3   0 0.00 0 0 0 12   48.84106200  001.91341000    0.00    0.00 0  0 0 0 30R  48.84478800  001.90128800    0.00    0.00 0  0 0 0
110   1 0.00 115.00 Apron
111  48.84319700  001.90747400 
111  48.84247800  001.91008300 
111  48.84256500  001.91013700 
113  48.84328400  001.90753200 
120 Path hold short
111  48.84473700  001.90093700  54 
115  48.84490700  001.90124500 
14   48.84541200  001.90141000   16 0 Thiverval Tower
15   48.84587800  001.89997000 339.08 GA Ramp 1
15   48.84576900  001.90026300 339.08 GA Ramp 2
15   48.84566600  001.90057100 339.08 GA Ramp 3
19   48.84530900  001.90187300 1 Windsock
19   48.84530900  001.90187300 1 Windsock
