1      143 0 0 LFND Pont-St Esprit
100   60.05   3   0 0.25 0 0 0 18   44.27266700  004.65224000  195.07    0.00 0  0 0 0 36   44.26411900  004.65203200  210.01    0.00 0  0 0 0
110   2 0.25   1.00 Apron
111  44.27261400  004.65175700 
111  44.27252700  004.65175500 
111  44.27252600  004.65185700 
113  44.27261300  004.65185900 
110   2 0.25   1.00 Apron
111  44.26404600  004.65150400 
111  44.26404500  004.65160600 
111  44.26412300  004.65160800 
113  44.26412500  004.65150600 
120 Path hold short
111  44.27256900  004.65179900  54 
115  44.27258700  004.65179700 
120 Path hold short
111  44.26409800  004.65155200  54 
115  44.26408000  004.65155800 
15   44.26927700  004.65115700  74.55 GA Ramp 1
15   44.26842600  004.65113500 104.11 GA Ramp 2
15   44.26859900  004.65118200  75.05 GA Ramp 3
15   44.26882100  004.65108300 104.48 GA Ramp 4
15   44.26902300  004.65120600  65.87 GA Ramp 5
19   44.27033900  004.65103500 1 Windsock
55 11892 ORANGE APP
