1       39 0 0 LIQL Lucca Tassignano
100   18.29   1   0 0.25 0 2 0 10   43.82887589  010.57276911    0.00    0.00 2 12 0 0 28   43.82787771  010.58403789    0.00    0.00 2 12 0 0
10   43.82818980  010.57788090 xxx  35.00    50 0.0 0.0    40 101101  1 0 0 0.25 0
10   43.82820890  010.57584190 xxx  75.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
10   43.82830430  010.57792660 xxx  13.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
10   43.82838820  010.57786850 xxx  50.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
10   43.82848740  010.57622340 xxx   0.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
10   43.82806020  010.57779980 xxx  12.00   100 0.0 0.0    40 101101  1 0 0 0.25 0
10   43.82822420  010.57606220 xxx  70.00    50 0.0 0.0    50 101101  1 0 0 0.25 0
10   43.82820890  010.57785700 xxx  52.00   200 0.0 0.0    46 101101  1 0 0 0.25 0
10   43.82837300  010.57614610 xxx  47.00   200 0.0 0.0    46 101101  1 0 0 0.25 0
10   43.82863620  010.57302470 xxx   7.00   140 0.0 0.0   130 101101  1 0 0 0.25 0
10   43.82805630  010.57646270 xxx  97.00   730 0.0 0.0   100 101101  1 0 0 0.25 0
10   43.82806400  010.57754140 xxx  70.00    70 0.0 0.0    50 101101  1 0 0 0.25 0
14   43.82931900  010.57770160    0 0 ATC Tower
15   43.82804110  010.57565210   7.00 Ramp
18   43.82894853  010.57850085 1 BCN
19   43.82914097  010.57258435 1 WS
19   43.82761261  010.58422259 1 WS
