1       18 1 0 LFKJ Ajaccio Napoleon Bonaparte
100   45.11   2   2 0.25 0 2 1 02   41.91175900  008.79493500    0.00   49.99 3  0 0 1 20   41.93140500  008.80718100  227.08   70.10 3  0 0 1
100   29.87   2   0 0.25 0 2 0 10   41.92444700  008.79174100    0.00   49.99 2  0 0 0 28   41.92372900  008.80440100   64.92    0.00 2  0 0 0
21   41.92753200  008.80530800  2 204.92   3.70  PAPI-4L
110   1 0.25  24.92 Taxiway
112  41.91487400  008.79367500  41.91500100  008.79375500  53 102 
111  41.91506400  008.79379400  53 102 
111  41.91687200  008.79496200 
111  41.91699000  008.79463000  53 102 
111  41.91518200  008.79346200  53 102 
112  41.91497700  008.79333400  41.91484000  008.79324800  53 102 
112  41.91450300  008.79312500  41.91432400  008.79307200  53 102 
112  41.91411200  008.79304100  41.91403100  008.79303800  53 102 
112  41.91385700  008.79307900  41.91376800  008.79310700  53 102 
112  41.91357200  008.79320600  41.91347100  008.79326300  53 102 
111  41.91342000  008.79329000  53 102 
112  41.91300600  008.79356400  41.91284200  008.79367200  53 102 
112  41.91262900  008.79384200  41.91254200  008.79391900  53 102 
112  41.91242200  008.79406000  41.91237100  008.79412900  53 102 
111  41.91234500  008.79416300  53 102 
112  41.91228900  008.79423900  41.91225100  008.79429000  53 102 
112  41.91215000  008.79455300  41.91209500  008.79471200  53 102 
111  41.91206800  008.79479000 102 
112  41.91206200  008.79480700  41.91205800  008.79481800 102 
112  41.91199400  008.79478400  41.91195300  008.79475800 
111  41.91199400  008.79478400 
111  41.91200800  008.79539300 
111  41.91267300  008.79520700 
112  41.91267300  008.79520700  41.91242800  008.79505400 102 
112  41.91231100  008.79496200  41.91231500  008.79495100 102 
111  41.91231600  008.79494600  53 102 
112  41.91238800  008.79473800  41.91243600  008.79459900  53 102 
112  41.91250000  008.79447600  41.91252700  008.79444100  53 102 
111  41.91253900  008.79442300  53 102 
112  41.91260600  008.79433300  41.91265100  008.79427300  53 102 
112  41.91278500  008.79414500  41.91286000  008.79408000  53 102 
112  41.91314200  008.79388400  41.91330600  008.79377600  53 102 
111  41.91353200  008.79362600  53 102 
112  41.91367000  008.79355000  41.91376200  008.79349900  53 102 
112  41.91391300  008.79344000  41.91398300  008.79341800  53 102 
112  41.91410900  008.79340900  41.91417000  008.79341000  53 102 
114  41.91444200  008.79348300  41.91460300  008.79353100  53 102 
110   2 0.25  24.92 Apron
111  41.93157400  008.80696700 
111  41.93163100  008.80677600 
111  41.93161400  008.80658100 
111  41.93151600  008.80640200 
111  41.93135500  008.80630600 
111  41.93118800  008.80632900 
111  41.93060200  008.80636100 
113  41.93099200  008.80660200 
110   2 0.25  24.92 Apron
111  41.92385900  008.80441200 
111  41.92408500  008.80443500 
111  41.92457200  008.79676600 
113  41.92429500  008.79673300 
110   1 0.25  24.92 Apron
111  41.91204100  008.79419300 
111  41.91186900  008.79468300 
111  41.91273800  008.79522900 
111  41.91259500  008.79502100 
111  41.91255100  008.79483100 
111  41.91254100  008.79460100 
111  41.91257900  008.79441500 
111  41.91268300  008.79422400 
113  41.91276700  008.79372500 
110   2 0.25  24.92 Apron
111  41.91687000  008.79496200 
111  41.91682800  008.79508100 
111  41.92252700  008.79865900 
111  41.92264100  008.79697200 
113  41.91730500  008.79368900 
110   2 0.25  24.92 Apron
111  41.92349800  008.78795700 
111  41.92258700  008.78729400 
111  41.92170300  008.78953800 
111  41.92237900  008.79003100 
113  41.92266800  008.79002300 
110   2 0.25  24.92 Apron
111  41.92313500  008.79177600 
111  41.92322400  008.79037800 
111  41.92254600  008.79031700 
113  41.92246100  008.79172100 
110   2 0.25  24.92 Apron
111  41.92258500  008.79381800 
111  41.92271100  008.79173900 
111  41.92253600  008.79171700 
113  41.92240700  008.79379900 
110   2 0.25  24.92 Apron
111  41.92209900  008.79498200 
111  41.92218500  008.79275900 
111  41.92226300  008.79265500 
111  41.92228300  008.79194100 
111  41.92211200  008.79171600 
111  41.92155300  008.79169000 
111  41.92153500  008.79236200 
111  41.92145900  008.79235800 
111  41.92136900  008.79453700 
111  41.92152300  008.79455000 
111  41.92150600  008.79495100 
113  41.92209700  008.79501000 
110   2 0.25  24.92 Apron
111  41.92571800  008.79198600 
111  41.92574500  008.79143400 
111  41.92520400  008.79138200 
113  41.92518000  008.79193800 
110   1 0.25  24.92 Apron
111  41.92933300  008.80494800 
111  41.92887700  008.80529800 
111  41.92964800  008.80578600 
111  41.92955000  008.80542200 
113  41.92955200  008.80507200 
110   2 0.25  24.92 Apron
111  41.91923900  008.80229700 
111  41.91903200  008.80289900 
111  41.91916400  008.80318800 
111  41.92066100  008.80406000 
113  41.92093300  008.80333900 
110   2 0.25  24.92 Apron
111  41.91898300  008.80180700 
111  41.91873200  008.80171600 
111  41.91852700  008.80174500 
111  41.91815600  008.80155900 
111  41.91785400  008.80233700 
111  41.91835000  008.80268400 
111  41.91851600  008.80225900 
111  41.91889000  008.80251200 
111  41.91899700  008.80222000 
113  41.91923700  008.80204700 
120 Centreline for Path
111  41.92226300  008.79733300  51 101 
112  41.92190800  008.79762900  41.92175300  008.79775800  51 101 
116  41.92192300  008.79798100  41.92208800  008.79808600 
120 Centreline for Path
111  41.92164500  008.79692600  51 101 
112  41.92128200  008.79722900  41.92112700  008.79735800  51 101 
116  41.92129600  008.79758100  41.92146100  008.79768700 
120 Centreline for Path
111  41.92095200  008.79646500  51 101 
112  41.92057300  008.79677800  41.92041800  008.79690700  51 101 
116  41.92058800  008.79712900  41.92075300  008.79723400 
120 Centreline for Path
111  41.92034200  008.79611000  51 101 
112  41.91999100  008.79640400  41.91983600  008.79653400  51 101 
116  41.92000500  008.79675700  41.92017000  008.79686300 
120 Centreline for Path
111  41.91968900  008.79570100  51 101 
112  41.91933900  008.79599000  41.91918400  008.79611900  51 101 
116  41.91935400  008.79634100  41.91951900  008.79644600 
120 Centreline for Path
111  41.91904900  008.79528200  51 101 
112  41.91869400  008.79557700  41.91853900  008.79570600  51 101 
116  41.91870800  008.79592900  41.91887300  008.79603400 
120 Centreline for Path
111  41.91839500  008.79486400  51 101 
112  41.91804000  008.79516000  41.91788500  008.79528900  51 101 
116  41.91805500  008.79551200  41.91822000  008.79561700 
120 Centreline for Path
111  41.91782900  008.79442600  51 101 
112  41.91742200  008.79476600  41.91726700  008.79489500  51 101 
116  41.91743700  008.79511800  41.91760200  008.79522300 
120 Centreline for Path
111  41.91733400  008.79410200  51 101 
112  41.91716500  008.79453800  41.91708100  008.79475600  51 101 
116  41.91711400  008.79491200  41.91716400  008.79494400 
120 Centreline for Path
111  41.92552900  008.79168700  51 101 
112  41.92544200  008.79175000  41.92537700  008.79179700  51 101 
112  41.92527100  008.79181300  41.92522200  008.79180900  51 101 
116  41.92510700  008.79179800  41.92504700  008.79179200 
120 Centreline for Path
111  41.92043800  008.80337600  51 101 
112  41.92051200  008.80316600  41.92054300  008.80307700  51 101 
116  41.92067100  008.80310200  41.92074600  008.80314900 
120 Centreline for Path
111  41.92015500  008.80319400  51 101 
112  41.92022800  008.80299000  41.92025900  008.80290100  51 101 
116  41.92038700  008.80292600  41.92046200  008.80297300 
120 Centreline for Path
111  41.91983600  008.80300800  51 101 
112  41.91991100  008.80279300  41.91994200  008.80270400  51 101 
116  41.92007000  008.80273000  41.92014500  008.80277600 
120 Centreline for Path
111  41.91955200  008.80283600  51 101 
112  41.91962700  008.80261800  41.91965800  008.80252900  51 101 
116  41.91978500  008.80255300  41.91986000  008.80259900 
120 Centreline for Path
111  41.91824700  008.80211300  51 101 
112  41.91827100  008.80208700  41.91832700  008.80202400  51 101 
116  41.91856700  008.80196300  41.91870800  008.80194200 
120 Centreline for Path
111  41.92267500  008.78843900  51 101 
112  41.92297100  008.78865200  41.92303600  008.78869800  51 101 
112  41.92301500  008.78885000  41.92298000  008.78893600  51 101 
112  41.92278100  008.78942100  41.92274600  008.78950700  51 101 
