1       32 1 0 KCRE Grand Strand
100   30.48   1   0 0.25 0 3 1 05   33.80603300 -078.73105000    0.00    0.00 3  0 0 1 23   33.81746400 -078.71683300    0.00    0.00 3  8 0 0
21   33.80752554 -078.72977403  2  45.94   3.00 05  PAPI-4L
21   33.81522619 -078.71903668  2 225.94   3.00 23  PAPI-4L
110   1 0.00  45.83 xxx
111  33.80530512 -078.73020160 
111  33.81676516 -078.71600338 
111  33.81690288 -078.71616440 
113  33.80544284 -078.73036262 
110   1 0.00 258.52 xxx
111  33.81009304 -078.72269647 
111  33.80935713 -078.72705753 
111  33.80916896 -078.72701153 
113  33.80990487 -078.72265047 
110   1 0.00 192.42 xxx
111  33.81307166 -078.72245942 
111  33.80942583 -078.72342578 
111  33.80939634 -078.72326458 
113  33.81304217 -078.72229822 
110   1 0.00  45.83 xxx
111  33.80857738 -078.72344236 
111  33.81011405 -078.72153856 
111  33.81068462 -078.72220564 
113  33.80914795 -078.72410944 
110   1 0.00  45.83 xxx
111  33.81044483 -078.72074655 
111  33.81121317 -078.71979463 
111  33.81193917 -078.72064345 
113  33.81117083 -078.72159537 
110   1 0.00  45.83 xxx
111  33.80830427 -078.72310201 
111  33.80893690 -078.72231824 
111  33.80924973 -078.72268399 
113  33.80861710 -078.72346776 
110   1 0.00 315.83 xxx
111  33.81074542 -078.72179891 
111  33.81153437 -078.72272134 
111  33.81140058 -078.72288709 
113  33.81061163 -078.72196466 
110   1 0.00 315.83 xxx
111  33.81677142 -078.71603303 
111  33.81744037 -078.71681520 
111  33.81730658 -078.71698097 
113  33.81663763 -078.71619880 
110   1 0.00 270.42 xxx
111  33.81108409 -078.72122719 
111  33.81109071 -078.72231329 
111  33.81091791 -078.72231481 
113  33.81091129 -078.72122871 
110   1 0.00  45.83 xxx
111  33.81578544 -078.71672864 
111  33.81628046 -078.71611531 
111  33.81651656 -078.71639136 
113  33.81602154 -078.71700469 
110   1 0.00 315.83 xxx
111  33.80545989 -078.73007105 
111  33.80606390 -078.73077720 
111  33.80593011 -078.73094295 
113  33.80532610 -078.73023680 
110   1 0.00 315.83 xxx
111  33.81488737 -078.71854944 
111  33.81544220 -078.71919816 
111  33.81534663 -078.71931656 
113  33.81479180 -078.71866784 
110   1 0.00 225.92 xxx
111  33.80970953 -078.72626729 
111  33.80940040 -078.72665147 
111  33.80926247 -078.72649071 
113  33.80957160 -078.72610653 
110   1 0.00 315.83 xxx
111  33.81069489 -078.72173340 
111  33.81088967 -078.72196113 
111  33.81064311 -078.72226660 
113  33.81044833 -078.72203887 
110   1 0.00 329.25 xxx
111  33.80974487 -078.72430746 
111  33.81000182 -078.72449144 
111  33.80983913 -078.72482054 
113  33.80958218 -078.72463656 
110   1 0.00 315.83 xxx
111  33.81014158 -078.72122975 
111  33.81035013 -078.72147358 
111  33.81012842 -078.72174825 
113  33.80991987 -078.72150442 
110   1 0.00 281.81 xxx
111  33.81521486 -078.71896404 
111  33.81531648 -078.71954896 
111  33.81521714 -078.71957396 
113  33.81511552 -078.71898904 
110   1 0.00 329.25 xxx
111  33.80942307 -078.72523349 
111  33.80958808 -078.72535164 
111  33.80938893 -078.72575451 
113  33.80922392 -078.72563636 
110   1 0.00 315.83 xxx
111  33.81051793 -078.72152998 
111  33.81077764 -078.72183362 
111  33.81068207 -078.72195202 
113  33.81042236 -078.72164838 
110   1 0.00 301.69 xxx
111  33.81178474 -078.72240782 
111  33.81191299 -078.72265783 
111  33.81170526 -078.72281218 
113  33.81157701 -078.72256217 
110   1 0.00 227.32 xxx
111  33.81125413 -078.72148470 
111  33.81105703 -078.72174196 
111  33.81091587 -078.72158530 
113  33.81111297 -078.72132804 
110   1 0.00   3.96 xxx
111  33.81659734 -078.71636257 
111  33.81693119 -078.71633475 
111  33.81694066 -078.71649943 
113  33.81660681 -078.71652725 
110   1 0.00 307.35 xxx
111  33.81250897 -078.72247396 
111  33.81264709 -078.72269178 
111  33.81245303 -078.72287004 
113  33.81231491 -078.72265222 
110   1 0.00  20.00 xxx
111  33.81090110 -078.72295612 
111  33.81111504 -078.72286240 
111  33.81119290 -078.72311988 
