1      746 0 0 CNW2 Windermere
100   36.88   3   0 0.00 0 0 0 15   45.16489186 -079.53706883    0.00    0.00 0  0 0 0 33   45.16041634 -079.53174274    0.00    0.00 0  0 0 0
110   3 0.00   0.00 Taxiway 1
111  45.16122232 -079.53512221 
111  45.16105434 -079.53571736 
111  45.16067553 -079.53554255 
111  45.16045578 -079.53435638 
111  45.16064525 -079.53357112 
111  45.16034471 -079.53190713 
113  45.16050899 -079.53164028 
110   3 0.00   0.00 Taxiway 2
111  45.16455572 -079.53719737 
111  45.16476665 -079.53659988 
111  45.16487693 -079.53625289 
111  45.16518920 -079.53686814 
113  45.16477475 -079.53749681 
14   45.16046261 -079.53518902   82 0 Tower Viewpoint 2
15   45.16088315 -079.53519736  92.11 Parking
19   45.16110756 -079.53325740 0 Windsock 1
