1      687 0 0 YNUN NUNTHERUNGIE
100   21.95   4   0 0.25 0 0 0 13  -30.80457400  142.48257647    0.00    0.00 0  0 0 0 31  -30.81239537  142.49247092    0.00    0.00 0  0 0 0
100   21.03   4   0 0.25 0 0 0 17  -30.80574201  142.48962179    0.00    0.00 0  0 0 0 35  -30.81063201  142.49014698    0.00    0.00 0  0 0 0
100   28.04   4   0 0.25 0 0 0 9   -30.80935578  142.48454312    0.00    0.00 0  0 0 0 27  -30.80985691  142.49516330    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 29
111 -30.80397277  142.47833909 
112 -30.80381037  142.47964155 -30.80377428  142.48016674 
112 -30.80372015  142.48107006 -30.80402690  142.48167927 
112 -30.80464041  142.48243554 -30.80474867  142.48270864 
112 -30.80474867  142.48352792 -30.80476672  142.48369598 
111 -30.80897104  142.49321234 
112 -30.81050481  142.49449379 -30.81133485  142.49468286 
112 -30.81296766  142.49540930 -30.81317101  142.49570920 
112 -30.81299757  142.49628192 -30.81272644  142.49661195 
112 -30.81266481  142.49658325 -30.81277573  142.49635366 
112 -30.81307152  142.49590884 -30.81307152  142.49577970 
112 -30.81281271  142.49542097 -30.81265249  142.49529183 
111 -30.80989180  142.49441654 
112 -30.80902908  142.49358429 -30.80889351  142.49334035 
111 -30.80419075  142.48262374 
112 -30.80333960  142.48142434 -30.80296231  142.48096600 
111 -30.80176482  142.47947641 
112 -30.80171561  142.47926634 -30.80189605  142.47951461 
112 -30.80271625  142.47957190 -30.80281467  142.47961009 
112 -30.80333960  142.47964829 -30.80333960  142.47934273 
112 -30.80322477  142.47875071 -30.80294590  142.47846425 
112 -30.80288029  142.47773855 -30.80306073  142.47745209 
114 -30.80381531  142.47743300 -30.80411058  142.47758577 
14  -30.80341035  142.48017347    6 0 New Tower Viewpoint 23
15  -30.80440864  142.48228267   0.00 New Ramp Start 21
19  -30.80502486  142.48367446 0 New Windsock 22
