1     2027 0 0 YGUW GUNNAWARRA
100   49.99   4   0 0.25 0 0 0 15  -17.94689243  145.16387018    0.00    0.00 0  0 0 0 33  -17.95447957  145.16727196    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 35
111 -17.94659162  145.16416556 
111 -17.94690934  145.16398979 
111 -17.94703476  145.16414799 
113 -17.94670031  145.16440286 
110   3 0.25 156.90 New Taxiway 34
111 -17.94547617  145.16319158 
112 -17.94714100  145.16355186 -17.94750824  145.16360333 
112 -17.94864669  145.16415662 -17.94883031  145.16418236 
112 -17.94936893  145.16442684 -17.94960152  145.16452977 
111 -17.95446135  145.16677161 
112 -17.95459600  145.16759513 -17.95435117  145.16782675 
112 -17.95414307  145.16773668 -17.95392272  145.16756940 
111 -17.95354324  145.16740212 
112 -17.95310255  145.16810983 -17.95289445  145.16832858 
112 -17.95236807  145.16890762 -17.95215996  145.16902343 
112 -17.95100927  145.16947379 -17.95043393  145.16930651 
112 -17.94723360  145.16721700 -17.94686636  145.16694679 
112 -17.94614412  145.16668944 -17.94589929  145.16672804 
112 -17.94531170  145.16677951 -17.94500567  145.16661224 
112 -17.94473636  145.16634202 -17.94465067  145.16609754 
112 -17.94460170  145.16492662 -17.94466291  145.16468214 
112 -17.94454049  145.16309946 -17.94465067  145.16276491 
114 -17.94512808  145.16280352 -17.94518929  145.16282925 
14  -17.94708492  145.16427982    6 0 New Tower Viewpoint 54
15  -17.94690098  145.16407768 168.24 New Ramp Start 53
19  -17.94717689  145.16362067 0 New Windsock 55
