1      689 0 0 YWBA WOORABINDA
100   21.03   1   0 0.25 0 0 0 1   -24.11948845  149.47524523    0.00    0.00 1  0 0 0 19  -24.10890845  149.47768915    0.00    0.00 1  0 0 0
110   1 0.25   0.00 New Taxiway 7
111 -24.10942558  149.47764463 
112 -24.10916360  149.47780409 -24.10908355  149.47784793 
111 -24.10893801  149.47784793 
111 -24.10887615  149.47753700 
112 -24.10911266  149.47748120 -24.10925820  149.47745329 
113 -24.10939283  149.47750113 
110   1 0.25   0.00 New Taxiway 6
111 -24.11889433  149.47529086 
112 -24.11919203  149.47514919 -24.11925518  149.47511954 
111 -24.11945966  149.47504705 
111 -24.11952883  149.47537982 
111 -24.11908077  149.47542924 
113 -24.11895748  149.47542924 
110   4 0.25   0.00 New Taxiway 5
111 -24.11940170  149.47533462 
112 -24.11951377  149.47564598 -24.11960182  149.47569422 
111 -24.11965786  149.47569422 
111 -24.12076653  149.47543549 
111 -24.12077054  149.47548811 
112 -24.11931658  149.47580891 -24.11929111  149.47580891 
111 -24.11917468  149.47579695 
113 -24.11912374  149.47538235 
14  -24.11890338  149.47571554    6 0 New Tower Viewpoint 6
15  -24.11931283  149.47564319 282.09 New Ramp Start 4
19  -24.11929963  149.47466879 0 New Windsock 5
