1      170 0 0 YGDS Gregory Downs
100   89.00   4   0 0.25 0 0 0 17  -18.62210460  139.23247315    0.00    0.00 0  0 0 0 35  -18.63407411  139.23443044    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 10
111 -18.62585025  139.23340617 
112 -18.62575418  139.23364949 -18.62573496  139.23369004 
112 -18.62575418  139.23384211 -18.62575418  139.23393336 
112 -18.62555242  139.23394349 -18.62546596  139.23395363 
112 -18.62504323  139.23378128 -18.62489912  139.23369004 
113 -18.62497598  139.23331493 
14  -18.62569653  139.23381170    6 0 New Tower Viewpoint 9
15  -18.62550439  139.23380156 318.81 New Ramp Start 8
19  -18.62505284  139.23366976 0 New Windsock 10
51 12670 CTAF
