1      604 0 0 YCWH Commonwealth Hill
100   36.88   4   0 0.25 0 0 0 18  -29.95199209  134.15176982    0.00    0.00 0  0 0 0 36  -29.96305700  134.15183900    0.00    0.00 0  0 0 0
100   42.98   4   0 0.25 0 0 0 8   -29.96089540  134.14901561    0.00    0.00 0  0 0 0 26  -29.96083093  134.16161363    0.00    0.00 0  0 0 0
100   42.06   4   0 0.25 0 0 0 14  -29.95461625  134.14772281    0.00    0.00 0  0 0 0 32  -29.96168567  134.15379863    0.00    0.00 0  0 0 0
100   36.88   4   0 0.25 0 0 0 4   -29.95628463  134.14698157    0.00    0.00 0  0 0 0 22  -29.95134248  134.15251180    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 12
111 -29.95430798  134.15175734 
111 -29.95436960  134.15086441 
111 -29.95482832  134.15086441 
111 -29.95484201  134.15109357 
111 -29.95548559  134.15111727 
113 -29.95546505  134.15175734 
14  -29.95515011  134.15039818    6 0 New Tower Viewpoint 9
15  -29.95458184  134.15102245  90.00 New Ramp Start 8
19  -29.95376025  134.15116468 0 New Windsock 7
51 12670 CTAF
