1      743 0 0 YDAG DAGWORTH
100   35.05   4   0 0.25 0 0 0 1   -21.87460439  142.14662682    0.00    0.00 0  0 0 0 19  -21.86301439  142.14727293    0.00    0.00 0  0 0 0
110   4 0.25   0.00 New Taxiway 1
111 -21.86916160  142.14679566 
111 -21.86632622  142.14461554 
111 -21.86656021  142.14418545 
111 -21.86991861  142.14678083 
111 -21.86945064  142.14707744 
111 -21.86874868  142.14801178 
111 -21.86821188  142.14743338 
112 -21.86782649  142.14743338 -21.86779897  142.14743338 
112 -21.86687678  142.14755203 -21.86679420  142.14758169 
112 -21.86636752  142.14761135 -21.86631246  142.14764101 
111 -21.86613353  142.14778932 
112 -21.86629858  142.14887464 -21.86631926  142.14919777 
112 -21.86627789  142.14975490 -21.86628824  142.14986633 
112 -21.86628824  142.15047917 -21.86623653  142.15069088 
112 -21.86615666  142.15143978 -21.86616700  142.15165149 
112 -21.86624973  142.15165149 -21.86628075  142.15165149 
112 -21.86672542  142.15186320 -21.86683917  142.15203034 
112 -21.86685985  142.15254290 -21.86681849  142.15266547 
112 -21.86736027  142.15298158 -21.86737541  142.15307947 
111 -21.86743597  142.15343837 
112 -21.86818776  142.15545648 -21.86812720  142.15576644 
111 -21.86802122  142.15625585 
112 -21.86752159  142.15588063 -21.86732476  142.15568487 
111 -21.86712794  142.15553804 
112 -21.86696140  142.15521177 -21.86696140  142.15511389 
112 -21.86696140  142.15426558 -21.86696140  142.15405350 
112 -21.86656775  142.15398825 -21.86650719  142.15398825 
112 -21.86584101  142.15402087 -21.86571989  142.15385774 
112 -21.86523540  142.15309099 -21.86526568  142.15276472 
112 -21.86573503  142.15196535 -21.86587129  142.15186747 
111 -21.86602270  142.15176959 
112 -21.86606812  142.15083971 -21.86609840  142.15066026 
112 -21.86620438  142.15013822 -21.86620438  142.14995877 
112 -21.86621952  142.14917571 -21.86621952  142.14912677 
112 -21.86614382  142.14849054 -21.86614382  142.14839266 
111 -21.86603784  142.14790325 
111 -21.86614382  142.14767486 
112 -21.86647691  142.14747909 -21.86662831  142.14751172 
112 -21.86779411  142.14729964 -21.86791524  142.14728333 
112 -21.86824832  142.14725070 -21.86827861  142.14723439 
113 -21.86847543  142.14707125 
14  -21.86600756  142.15219374    6 0 New Tower Viewpoint 3
15  -21.86864197  142.14744646 264.44 New Ramp Start 1
19  -21.86889138  142.14754083 0 New Windsock 2
