1      250 0 0 YSHW Holsworthy Army Airfield
100   29.87   1   1 0.00 1 2 0 11  -33.99340100  150.94941900    0.00    0.00 3  0 0 0 29  -33.99659900  150.95558100    0.00    0.00 3  0 0 0
110   1 0.00 122.00 Taxiway
111 -33.99426500  150.95310200 
111 -33.99421100  150.95313700 
111 -33.99410900  150.95314600 
111 -33.99416300  150.95304500 
111 -33.99421700  150.95301000 
111 -33.99427100  150.95297400 
111 -33.99434900  150.95292100 
111 -33.99440800  150.95288000 
111 -33.99446600  150.95283900 
111 -33.99454200  150.95278100 
111 -33.99460200  150.95273300  53 
111 -33.99466100  150.95268400  53 
112 -33.99478300  150.95259500 -33.99483400  150.95255800  53 
111 -33.99473100  150.95229100 
111 -33.99511700  150.95241300 
111 -33.99502600  150.95286500 
112 -33.99483000  150.95268700 -33.99477900  150.95272400  53 
111 -33.99470900  150.95277600  53 
111 -33.99465000  150.95282500 
111 -33.99459000  150.95287300 
111 -33.99451300  150.95293100 
111 -33.99445500  150.95297200 
111 -33.99439700  150.95301300 
113 -33.99431800  150.95306600 
110   1 0.00 122.00 Taxiway
111 -33.99396100  150.95251100 
111 -33.99390500  150.95254900 
111 -33.99380400  150.95255900 
111 -33.99385700  150.95245700 
111 -33.99391400  150.95241800 
111 -33.99397000  150.95237900 
111 -33.99404800  150.95232400 
111 -33.99410100  150.95228400 
111 -33.99415400  150.95224400 
111 -33.99423100  150.95218700 
111 -33.99428800  150.95214700  53 
111 -33.99434400  150.95210700  53 
112 -33.99447700  150.95200700 -33.99452800  150.95196900  53 
111 -33.99442500  150.95170400 
111 -33.99481000  150.95182100 
111 -33.99473100  150.95229100 
112 -33.99452400  150.95209900 -33.99447300  150.95213700  53 
111 -33.99439000  150.95219900  53 
111 -33.99433500  150.95224000 
111 -33.99427900  150.95228000 
111 -33.99420200  150.95233600 
111 -33.99414800  150.95237700 
111 -33.99409300  150.95241700 
113 -33.99401600  150.95247200 
110   1 0.00 122.00 Taxiway
111 -33.99454700  150.95365100 
111 -33.99449700  150.95368700 
111 -33.99439700  150.95369800 
111 -33.99445000  150.95359500 
111 -33.99450000  150.95355900 
111 -33.99455000  150.95352200 
111 -33.99462700  150.95346700 
111 -33.99468600  150.95342400 
111 -33.99474500  150.95338200 
111 -33.99482300  150.95332800 
111 -33.99488700  150.95328500  53 
111 -33.99495000  150.95324100  53 
112 -33.99506900  150.95315400 -33.99512000  150.95311700  53 
111 -33.99502600  150.95286500 
111 -33.99540300  150.95297100 
111 -33.99531100  150.95341400 
112 -33.99511700  150.95324600 -33.99506600  150.95328300  53 
111 -33.99499600  150.95333500  53 
111 -33.99493400  150.95337800 
111 -33.99487100  150.95342000 
111 -33.99479300  150.95347400 
111 -33.99473400  150.95351700 
111 -33.99467500  150.95355900 
113 -33.99459700  150.95361500 
110   1 0.00 122.00 Taxiway
111 -33.99480100  150.95420600 
111 -33.99477600  150.95422400 
111 -33.99470000  150.95428100 
111 -33.99472800  150.95413300 
111 -33.99477900  150.95409600 
111 -33.99482900  150.95405800 
111 -33.99490600  150.95400100 
111 -33.99496700  150.95395800 
111 -33.99502700  150.95391400 
111 -33.99510500  150.95386000 
111 -33.99516800  150.95382000  53 
111 -33.99523000  150.95378000  53 
112 -33.99535100  150.95369300 -33.99540200  150.95365600  53 
111 -33.99531100  150.95341400 
111 -33.99568600  150.95351200 
111 -33.99562200  150.95401000 
112 -33.99562200  150.95401000 -33.99552500  150.95382300  53 
112 -33.99539900  150.95378500 -33.99534800  150.95382200  53 
111 -33.99527400  150.95387400  53 
111 -33.99521400  150.95391400 
111 -33.99515300  150.95395300 
111 -33.99507400  150.95400600 
111 -33.99501400  150.95405000 
111 -33.99495400  150.95409300 
113 -33.99487700  150.95414900 
110   1 0.00 122.00 Taxiway
111 -33.99367200  150.95194200 
111 -33.99361500  150.95198600 
111 -33.99354100  150.95204800 
111 -33.99350800  150.95188900 
111 -33.99358500  150.95182800 
111 -33.99366300  150.95176800 
111 -33.99373900  150.95171000 
111 -33.99379200  150.95167000 
111 -33.99384500  150.95163000 
111 -33.99392200  150.95157200 
111 -33.99397300  150.95153300  53 
111 -33.99402400  150.95149400  53 
112 -33.99412700  150.95141100 -33.99419600  150.95135600  53 
112 -33.99412600  150.95112600 -33.99405700  150.95099100 
111 -33.99412600  150.95112600 
111 -33.99449400  150.95121400 
111 -33.99442500  150.95170400 
112 -33.99419500  150.95154000 -33.99412700  150.95159500  53 
111 -33.99409200  150.95162200  53 
111 -33.99404000  150.95166200 
111 -33.99398800  150.95170100 
111 -33.99391200  150.95175900 
111 -33.99385900  150.95180000 
111 -33.99380500  150.95184000 
113 -33.99372900  150.95189800 
110   1 0.00 122.00 Closed taxiway
112 -33.99338200  150.95154600 -33.99341300  150.95152500 
111 -33.99350300  150.95146700 
111 -33.99352900  150.95152400 
112 -33.99345800  150.95157000 -33.99342700  150.95159100 
112 -33.99344000  150.95165600 -33.99345900  150.95169300 
111 -33.99353800  150.95184700 
111 -33.99349200  150.95188200 
114 -33.99336300  150.95163200 -33.99334400  150.95159500 
110   1 0.00 122.00 Closed taxiway
112 -33.99496300  150.95528600 -33.99498400  150.95532000 
112 -33.99503100  150.95535100 -33.99505600  150.95536000 
112 -33.99512900  150.95532100 -33.99517000  150.95529200 
112 -33.99520700  150.95522300 -33.99521900  150.95518700 
112 -33.99519500  150.95510800 -33.99517500  150.95506800 
112 -33.99512700  150.95507200 -33.99510200  150.95508900 
112 -33.99504200  150.95500400 -33.99501000  150.95494300 
111 -33.99475100  150.95444000 
111 -33.99482700  150.95438200 
112 -33.99507400  150.95486000 -33.99510600  150.95492100 
112 -33.99514200  150.95494500 -33.99515500  150.95494000 
111 -33.99516200  150.95493700 
111 -33.99526500  150.95487900  53 
111 -33.99551600  150.95469500  53 
112 -33.99558300  150.95464700 -33.99561400  150.95462400  53 
112 -33.99561100  150.95455700 -33.99560000  150.95452000  53 
112 -33.99563000  150.95445300 -33.99565400  150.95442100  53 
112 -33.99564000  150.95444100 -33.99566400  150.95440900  53 
112 -33.99572200  150.95435700 -33.99575300  150.95433300 
111 -33.99572200  150.95435700 
111 -33.99572800  150.95443000 
112 -33.99572800  150.95443000 -33.99571700  150.95443900  53 
112 -33.99568400  150.95447900 -33.99566500  150.95450300  53 
112 -33.99567100  150.95456200 -33.99568100  150.95459300  53 
112 -33.99572000  150.95464900 -33.99574300  150.95467600  53 
112 -33.99579700  150.95467600 -33.99582600  150.95466700  53 
112 -33.99588600  150.95462800 -33.99591700  150.95460500  53 
111 -33.99604100  150.95451600 
111 -33.99606900  150.95457200 
112 -33.99590800  150.95468800 -33.99587700  150.95471100  53 
112 -33.99581000  150.95473800 -33.99577500  150.95474900  53 
112 -33.99579000  150.95474500 -33.99575500  150.95475600  53 
112 -33.99569900  150.95471600 -33.99567300  150.95468600  53 
112 -33.99569700  150.95471300 -33.99567100  150.95468300  53 
112 -33.99561200  150.95470200 -33.99558100  150.95472500  53 
111 -33.99554400  150.95475100  53 
111 -33.99529300  150.95493500 
112 -33.99526300  150.95495500 -33.99524300  150.95496900 
112 -33.99528000  150.95506800 -33.99531100  150.95512900 
112 -33.99532600  150.95515800 -33.99535700  150.95521900 
112 -33.99534600  150.95533100 -33.99532800  150.95538500 
112 -33.99520500  150.95549400 -33.99512800  150.95554900 
112 -33.99499200  150.95554000 -33.99492700  150.95551600 
112 -33.99485100  150.95543100 -33.99482200  150.95538200 
112 -33.99483600  150.95530200 -33.99485500  150.95526500 
112 -33.99486500  150.95524200 -33.99488400  150.95520500 
112 -33.99484500  150.95509500 -33.99481300  150.95503400 
111 -33.99472800  150.95487400 
111 -33.99480400  150.95481600 
112 -33.99492900  150.95505300 -33.99496100  150.95511400 
114 -33.99495500  150.95518900 -33.99494000  150.95521900 
110   1 0.00 122.00 Closed taxiway
112 -33.99348800  150.95066600 -33.99349500  150.95067800 
111 -33.99368700  150.95104200 
111 -33.99367200  150.95105400 
112 -33.99348200  150.95069600 -33.99347500  150.95068400 
112 -33.99345700  150.95069000 -33.99344700  150.95069800 
111 -33.99341200  150.95072800 
111 -33.99340100  150.95071000 
114 -33.99346300  150.95066000 -33.99347300  150.95065200 
110   1 0.00 122.00 Closed taxiway
112 -33.98968000  150.95088800 -33.98972500  150.95085000 
111 -33.99026900  150.95038300 
111 -33.99232100  150.94881100 
112 -33.99309300  150.94819700 -33.99313900  150.94816000 
112 -33.99324300  150.94812700 -33.99329700  150.94811700 
112 -33.99335000  150.94810600 -33.99340400  150.94809600 
112 -33.99350000  150.94814400 -33.99354600  150.94817900 
112 -33.99353400  150.94816900 -33.99358000  150.94820400 
112 -33.99364700  150.94830600 -33.99367600  150.94836200 
112 -33.99441100  150.94977700 -33.99444000  150.94983300 
112 -33.99453700  150.94987300 -33.99459200  150.94988100 
112 -33.99482300  150.94991800 -33.99487800  150.94992600 
112 -33.99498600  150.94991600 -33.99504000  150.94990700 
111 -33.99536700  150.94985200 
111 -33.99537800  150.94995000 
112 -33.99498600  150.95001600 -33.99493200  150.95002500 
112 -33.99482400  150.95001700 -33.99477000  150.95000800 
112 -33.99459000  150.94998200 -33.99453600  150.94997300 
112 -33.99455200  150.95005400 -33.99458100  150.95011100 
112 -33.99746000  150.95584100 -33.99748900  150.95589800 
112 -33.99751400  150.95602400 -33.99752100  150.95608900 
112 -33.99755700  150.95643000 -33.99756400  150.95649500 
112 -33.99753000  150.95661600 -33.99750500  150.95667500 
112 -33.99744200  150.95681400 -33.99741700  150.95687300 
112 -33.99733500  150.95695600 -33.99728900  150.95699200 
112 -33.99713400  150.95711100 -33.99708800  150.95714700 
112 -33.99698300  150.95716000 -33.99692800  150.95715700 
112 -33.99688700  150.95715300 -33.99683200  150.95715000 
112 -33.99672900  150.95711100 -33.99667800  150.95708600 
112 -33.99171600  150.95468500 -33.99166500  150.95466000 
112 -33.99157700  150.95458400 -33.99153500  150.95454100 
112 -33.99148400  150.95448900 -33.99144200  150.95444600 
112 -33.99137600  150.95434200 -33.99134600  150.95428700 
111 -33.99098300  150.95361600 
111 -33.99066400  150.95298700 
112 -33.99016900  150.95211000 -33.99013800  150.95205500 
112 -33.99006300  150.95196100 -33.99002300  150.95191600 
111 -33.98976300  150.95162800 
112 -33.98954200  150.95138900 -33.98950100  150.95134500 
112 -33.98940500  150.95128600 -33.98935400  150.95126100 
112 -33.98912800  150.95114800 -33.98907700  150.95112300 
112 -33.98897100  150.95110000 -33.98891700  150.95109300 
111 -33.98752600  150.95091100 
111 -33.98753500  150.95081300 
112 -33.98899100  150.95100400 -33.98904500  150.95101100 
112 -33.98914800  150.95105200 -33.98919900  150.95107700 
112 -33.98940900  150.95118200 -33.98946000  150.95120700 
112 -33.98952500  150.95113300 -33.98955200  150.95107600 
114 -33.98957300  150.95103100 -33.98960000  150.95097400 
112 -33.99171900  150.95294500 -33.99173000  150.95296400 
112 -33.99180400  150.95292000 -33.99185000  150.95288500 
111 -33.99197900  150.95278400 
111 -33.99202400  150.95286700 
111 -33.99174600  150.95308200 
111 -33.99136700  150.95337200 
112 -33.99114300  150.95355000 -33.99109800  150.95358600 
112 -33.99112000  150.95368700 -33.99115000  150.95374200 
112 -33.99143800  150.95427600 -33.99146800  150.95433100 
