1     2070 0 0 8NE5 X1 Ranch
100   29.87   3   0 0.25 0 0 0 11   41.79157787 -098.73081651    0.00    0.00 0  0 0 0 29   41.78868086 -098.72172120    0.00    0.00 0  0 0 0
110   3 1.00  50.00 New Taxiway 23
111  41.79168342 -098.73072066 
112  41.79159500 -098.73117277  41.79145684 -098.73140253 
111  41.79087106 -098.73232898 
112  41.79109211 -098.73244016  41.79117500 -098.73244016 
112  41.79114737 -098.73264027  41.79107553 -098.73269215 
112  41.79058370 -098.73291450  41.79050633 -098.73291450 
112  41.79045107 -098.73266251  41.79048422 -098.73253651 
111  41.79141816 -098.73107642 
112  41.79145132 -098.73080960  41.79140158 -098.73069101 
113  41.79146789 -098.73049090 
14   41.79081462 -098.73259119    6 0 New Tower Viewpoint 61
15   41.79067393 -098.73252216  52.37 New Ramp Start 60
19   41.79096560 -098.73230586 0 New Windsock 62
