ADAM AIRCRAFT (USA);A-500, CarbonAero ;A500 ;2P/S ;NULL;NULL;II ;NULL
AERMACCHI SpA (Italy);AMX ;AMX* ;1J/S+ ;NULL;NULL;III ;NULL
AERMACCHI SpA (Italy);FN-333 Riviera*** ;FN33 ;1P/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);MB-290TP Redigo ;L90 ;1T/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);MB-326 ;M32 ;1J/S ;NULL;NULL;III ;NULL
AERMACCHI SpA (Italy);MB-339 ;M339* ;1J/S ;NULL;NULL;III ;NULL
AERMACCHI SpA (Italy);SF-205-18F/20F ;S05F ;1P/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);SF-205-18R/20R/22R ;S05R ;1P/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);S-208 ;S208 ;1P/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);S-211 ;S211 ;1T/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);SF-260 A/B/C/D/E/F/M/W, Warrior ;F260 ;1P/S ;NULL;NULL;I ;NULL
AERMACCHI SpA (Italy);SF-260TP ;F26T ;1T/S ;1,800 ;1,100 ;I ;3
AERMACCHI SpA (Italy);SF-600A, SF-600TP Canguero ;F600 ;2T/S ;2,100 ;NULL;II ;4
AERO SPACELINES (USA);Super Guppy, Super Turbine Guppy ;SGUP ;4T/L ;1,500 ;1,500 ;III ;10
AEROSPATIALE (France);ATR-42-200/300/320 ;AT43 ;2T/L ;2,000 ;2,000 ;III ;5
AEROSPATIALE (France);ATR-42-400 ;AT44 ;2T/L ;2,000 ;2,000 ;III ;5
AEROSPATIALE (France);ATR-42-500 ;AT45 ;2T/L ;2,000 ;2,000 ;III ;5
AEROSPATIALE (France);ATR-72 ;AT72 ;2T/L ;2,000 ;2,000 ;III ;6
AEROSPATIALE (France);Rallye, Rallye Club, Super Rallye, Rallye Commodore, Minerva (MS-880 to 894) ;RALL ;1P/S ;750;750;I ;3
AEROSPATIALE (France);SE-210 Caravelle ;S210 ;2J/L ;2,300 ;2,000 ;III ;8
AEROSPATIALE (France);SN-601 Corvette ;S601 ;2J/S+ ;2,500 ;2,000 ;III ;5
AEROSPATIALE (France);Tampico TB-9 ;TAMP ;1P/S ;600;700;I ;2
AEROSPATIALE (France);TBM TB-700 ;TBM7 ;1T/S ;1,700 ;1,500 ;I ;5
AEROSPATIALE (France);Tabago TB10C/200 ;TOBA ;1P/S ;700;700;I ;2
AEROSPATIALE (France);Trinidad TB-20/21 ;TRIN ;1P/S ;850;700;I ;3
AIRBUS INDUSTRIES (International);A-300B2/4-1/2/100/200, A-300C4-200 ;A30B ;2J/H ;3,500 ;3,500 ;III ;8
AIRBUS INDUSTRIES (International);A-300B4 - 600 ;A306 ;2J/H ;3,500 ;3,500 ;III ;7
AIRBUS INDUSTRIES (International);A-310 (CC-150 Polaris) ;A310 ;2J/H ;3,500 ;3,500 ;III ;7
AIRBUS INDUSTRIES (International);A-318 ;A318 ;2J/L ;3,500 ;3,500 ;III ;NULL
AIRBUS INDUSTRIES (International);A-319, ACJ ;A319 ;2J/L ;3,500 ;3,500 ;III ;7
AIRBUS INDUSTRIES (International);A-320 ;A320 ;2J/L ;3,500 ;3,500 ;III ;7
AIRBUS INDUSTRIES (International);A-321 ;A321 ;2J/L ;3,500 ;3,500 ;III ;NULL
AIRBUS INDUSTRIES (International);A-300ST Super Transporter, Beluga ;A3ST ;2J/H ;NULL;NULL;III ;NULL
AIRBUS INDUSTRIES (International);A-330-200 ;A332 ;2J/H ;3,500 ;3,500 ;III ;8
AIRBUS INDUSTRIES (International);A-330-300 ;A333 ;2J/H ;NULL;NULL;III ;8
AIRBUS INDUSTRIES (International);A-340-200 ;A342 ;4J/H ;3,500 ;3,500 ;III ;9
AIRBUS INDUSTRIES (International);A-340-300 ;A343 ;4J/H ;NULL;NULL;III ;9
AIRBUS INDUSTRIES (International);A-340-500 ;A345 ;4J/H ;NULL;NULL;III ;9
AIRBUS INDUSTRIES (International);A-340-600 ;A346 ;4J/H ;NULL;NULL;III ;9
AIRBUS INDUSTRIES (International);A-380-800 ;A388 ;4J/H ;NULL;NULL;III ;10
AIRCRAFT HYDRO-FORMING (USA);Bushmaster 2000 ;BU20 ;3P/S+ ;2,000 ;2,000 ;III ;2
AIR TRACTOR, INC. (USA);AT-300/301/401 ;AT3P ;1P/S ;1,000 ;NULL;I ;1
AIR TRACTOR, INC. (USA);AT-302/400/402 ;AT3T ;1T/S ;NULL;NULL;I ;NULL
AIR TRACTOR, INC. (USA);AT-501 ;AT5P ;1P/S ;NULL;NULL;I ;NULL
AIR TRACTOR, INC. (USA);AT-502/503 ;AT5T ;1T/S ;NULL;NULL;I ;NULL
AIR TRACTOR, INC. (USA);AT-602 ;AT6T ;1T/S ;NULL;NULL;I ;NULL
AIR TRACTOR, INC. (USA);AT-802 ;AT8T ;1T/S+ ;NULL;NULL;III ;
ANTONOV (Russia);An-2 ;AN2 ;1P/S ;NULL;NULL;I ;NULL
ANTONOV (Russia);An-8 ;AN8 ;2T/L ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-12 ;AN12 ;4T/L ;NULL;NULL;III ;NULL
ANTONOV (Russia);An-22 ;AN22 ;4T/H ;NULL;NULL;III ;NULL
