1       13 0 0 PMDY Midway Atoll
100   60.96   1   0 0.00 0 2 0 06   28.19747409 -177.39289238    0.00  152.10 2  0 0 0 24   28.20539791 -177.37004362    0.00   41.15 2  0 0 0
21   28.19854846 -177.39117667  1  68.52   3.00 06  VASI
110   4 1.00 248.00 New Taxiway 26
111  28.20259536 -177.38185063 
112  28.20259536 -177.38185063  28.20262362 -177.38177912 
112  28.20291437 -177.38171490  28.20306433 -177.38172970 
111  28.20291437 -177.38171490 
111  28.20536082 -177.38282976 
112  28.20536082 -177.38282976  28.20551584 -177.38292827 
112  28.20543388 -177.38311757  28.20534730 -177.38324822 
111  28.20543388 -177.38311757 
111  28.20461571 -177.38417838 
113  28.20020283 -177.38880315 
112  28.20377786 -177.38384628  28.20397594 -177.38401485 
111  28.20377786 -177.38384628 
112  28.20377786 -177.38384628  28.20412450 -177.38374327 
112  28.20454541 -177.38318138  28.20466095 -177.38290043 
111  28.20454541 -177.38318138 
112  28.20454541 -177.38318138  28.20417402 -177.38290980 
112  28.20341472 -177.38271314  28.20300206 -177.38268504 
111  28.20341472 -177.38271314 
114  28.20341472 -177.38271314  28.20323315 -177.38282551 
110   2 0.00 248.00 New Taxiway 22
111  28.20770871 -177.38108662 
111  28.20731141 -177.38086462 
111  28.20790844 -177.37940744 
113  28.20829882 -177.37963407 
110   2 0.00 248.00 New Taxiway 21
111  28.20768148 -177.37859360 
111  28.20781765 -177.37814032 
111  28.20869827 -177.37863480 
113  28.20851670 -177.37903657 
110   2 0.00 248.00 New Taxiway 20
111  28.20946995 -177.37704833 
111  28.20955122 -177.37694240 
112  28.20958350 -177.37675267  28.20963475 -177.37667337 
111  28.21066631 -177.37726584 
112  28.21132281 -177.37758859  28.21153426 -177.37776660 
111  28.21132281 -177.37758859 
112  28.21132281 -177.37758859  28.21132963 -177.37778208 
113  28.21124026 -177.37799609 
110   2 0.00 248.00 New Taxiway 19
111  28.20904325 -177.37931472 
111  28.20921575 -177.37889235 
111  28.21056845 -177.37960317 
113  28.21041411 -177.38003584 
110   2 0.00 248.00 New Taxiway 18
111  28.20866196 -177.38030369 
111  28.20884353 -177.37990192 
111  28.21019623 -177.38055093 
113  28.20998742 -177.38104354 
110   2 0.00 248.00 New Taxiway 17
111  28.20823527 -177.38130296 
111  28.20841684 -177.38085999 
